Rond&ocirc;nia | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Alta Floresta D'Oeste,1100015,alta-florense,GIOVAN DAMO,7067.127,21494,3.04,95.7,0.641,5.43,34488924.21,39038205.02,32619.88,
Ariquemes,1100023,ariquemense,CARLA GON&Ccedil;ALVES REZENDE,4426.143,96833,21.88,97.2,0.702,21.26,539844222.53,488450608.40,28878.27,
Cabixi,1100031,cabixiense,SILVANO ASCARI DE ALMEIDA,1314.352,5351,4.07,98.1,0.650,-,48454961.46,40343087.11,47051.83,
Cacoal,1100049,cacoalense,ADAILTON ANTUNES FERREIRA,3793.000,86887,22.91,97.6,0.718,9.61,400470224.60,390313644.70,32313.26,
Cerejeiras,1100056,cerejeirense,SIN&Eacute;SIO JOS&Eacute; DE SOUZA,2783.297,15890,5.71,98.5,0.692,3.68,119336366.65,97280359.62,46185.81,
Colorado do Oeste,1100064,coloradense,EDMILSON RODRIGUES DE ALMEIDA,1451.063,15663,10.79,97.6,0.685,19.51,103636927.25,98406145.24,27923.92,
Corumbiara,1100072,corumbiarense,LEANDRO TEIXEIRA VIEIRA,3060.321,7519,2.46,97.1,0.613,29.13,76541292.60,74822724.50,56257.46,
Costa Marques,1100080,costa-marquense,FABIOMAR AGOSTINI BENTO,4987.177,12627,2.53,97.6,0.611,13.76,81601676.21,67749761.31,16446.15,
Espig&atilde;o D'Oeste,1100098,espig&atilde;oense,WELITON PEREIRA CAMPOS,4518.038,29414,6.51,95.9,0.672,10.82,146477583.28,139994168.60,23429.38,
Guajar&aacute;-Mirim,1100106,guajar&aacute;-mirense,FABIO GARCIA DE OLIVEIRA,24856.877,39387,1.58,93.1,0.657,16.04,180392533.24,162810568.90,22462.79,
Jaru,1100114,jaruense,JEVERSON LUIZ DE LIMA,2944.140,50591,17.18,97.8,0.689,13.48,271817817.20,223657207.20,34294.21,
Ji-Paran&aacute;,1100122,ji-paranaense,AFFONSO ANT&Ocirc;NIO C&Acirc;NDIDO,6896.649,124333,18.03,96.6,0.714,10.45,571278191.28,544175882.00,32292.16,
Machadinho D'Oeste,1100130,machadinhense,PAULO HENRIQUE DOS SANTOS,8509.270,30707,3.61,93.2,0.596,24.1,180971837.45,186811878.50,21338.33,
Nova Brasil&acirc;ndia D'Oeste,1100148,brasilandense,CLODOALDO ALVES PEDROSO,1703.008,15679,9.21,97.5,0.643,16.95,114036465.41,96048309.94,26762.31,
Ouro Preto do Oeste,1100155,ouro-pretense,JUAN ALEX TESTONI,1969.879,35044,17.79,96.1,0.682,1.88,206371966.44,172165196.70,27814.02,
Pimenta Bueno,1100189,pimenta-buenense,MARCILENE RODRIGUES DA SILVA SOUZA,6241.019,35079,5.62,97.7,0.710,18.74,208000613.40,195946603.80,44275.07,
Porto Velho,1100205,porto-velhense,LEONARDO BARRETO DE MORAES,34091.146,460434,13.51,94.5,0.736,13.33,2466501221.83,2517759370.00,36541.49,
