Amazonas | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Alvar&atilde;es,1300029,alvar&atilde;ense,LUCENILDO DE SOUZA MACEDO,5922.884,15866,2.68,75.3,0.527,18.18,126092009.24,120203719.40,13255.22,
Amatur&aacute;,1300060,amaturaense,MARIA DE NAZAR&Eacute; DA SILVA ROCHA,4754.109,10819,2.28,86.3,0.560,19.31,67775575.93,61081705.27,9960.76,
Anam&atilde;,1300086,anam&atilde;ense,KATIA MARIA DANTAS RIBEIRO,2446.121,9962,4.07,93.6,0.594,16.67,70502744.30,67132685.85,9697.69,
Anori,1300102,anoriense,REGINALDO NAZAR&Eacute; DA COSTA,6036.019,17194,2.85,84.9,0.561,8.4,104265369.45,91195024.71,11324.94,
Apu&iacute;,1300144,apuiense,ANT&Ocirc;NIO MARCOS MACIEL FERNANDES,54240.544,20647,0.38,93.4,0.637,14.76,97176804.46,88420595.83,13096.89,
Atalaia do Norte,1300201,atalaiense,DENIS LINDER ROJAS DE PAIVA,76507.617,15314,0.20,65.5,0.450,21.39,100213161.44,92454763.52,8862.72,
Autazes,1300300,autazense,JOS&Eacute; THOM&Eacute; NETO,7652.852,41564,5.43,94.6,0.577,21.03,246188080.90,183475186.90,12348.26,
Barcelos,1300409,barcelense,RADSON ROGERTON DOS SANTOS ALVES,122462.433,18834,0.15,64.7,0.500,17.95,104151475.62,92145921.82,8844.22,
Barreirinha,1300508,barreirinhense,DARLAN TAVEIRA PERES,5751.765,31051,5.40,97.5,0.574,9.82,172600903.88,161670844.60,10476.91,
Benjamin Constant,1300607,benjamin-constantense,SEMEIDE BERMEGUY PORTO,8705.265,37648,4.32,89.6,0.574,21.9,213308092.27,197733326.00,8664.03,
Beruri,1300631,beruriense,EMERSON KLINGER GON&Ccedil;ALVES DE MELLO,17472.779,20718,1.19,90.4,0.506,19.72,113897313.08,106532016.70,10333.67,
Boa Vista do Ramos,1300680,boa-vistense,JARLEM DE ALMEIDA TRINDADE,2589.407,23785,9.19,95.9,0.565,7.27,104183199.34,102810974.30,9102.4,
Boca do Acre,1300706,bocacrense,FRANK SOBREIRA BARROS,21938.583,35447,1.62,88,0.588,13.29,141575307.83,124720386.00,14668.9,
Borba,1300805,borbense,RAIMUNDO SANTANA DE FREITAS,44236.184,33080,0.75,91.2,0.560,14.61,164038096.33,140540795.20,9500.35,
Caapiranga,1300839,caapiranguense,MATULINHO XAVIER BRAZ,9455.539,13469,1.42,89.4,0.569,13.82,92762308.12,87497718.28,13194.94,
Canutama,1300904,canutamense,JOS&Eacute; ROBERTO TORRES DE PONTES,33642.732,16869,0.50,87.6,0.530,17.14,84482895.91,76310617.86,9656.23,
