Maranh&atilde;o | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
A&ccedil;ail&acirc;ndia,2100055,a&ccedil;ailandense,BENJAMIM DE OLIVEIRA,5805.159,106550,18.35,97.7,0.672,15.29,542919732.04,515857471.10,33649.84,
Afonso Cunha,2100105,afonsense,PEDRO FERREIRA MEDEIROS,371.765,6144,16.55,96.6,0.529,9.01,58588415.90,51695385.33,12828.8,
&Aacute;gua Doce do Maranh&atilde;o,2100154,aguadocense,MARIA ELIANE DA COSTA DIAS,442.292,12142,27.45,98.3,0.500,12.42,62265245.26,58115290.36,7986.15,
Alc&acirc;ntara,2100204,alcantarense,NIVALDO ARA&Uacute;JO DE JESUS,1167.964,18467,15.81,96.8,0.573,34.88,75533677.59,78778731.40,6725,
Aldeias Altas,2100303,aldeias-altense,KEDSON ARAUJO LIMA,1943.413,23286,11.99,94.9,0.513,5.52,139830910.77,136552696.40,9246.08,
Altamira do Maranh&atilde;o,2100402,altamirense,MARTON SANDS C&Acirc;MARA PAGE&Uacute;,524.374,6447,12.29,91.5,0.549,17.86,42596945.86,41109286.06,8669.76,
Alto Alegre do Maranh&atilde;o,2100436,alto-alegrense,NILSILENE SANTANA RIBEIRO ALMEIDA,392.750,24048,61.23,95.5,0.554,17.95,98637518.21,96440480.25,10801.55,
Alto Alegre do Pindar&eacute;,2100477,alto-alegrense,JOSE FRANCINETE BENTO LUNA,1875.580,25710,13.71,96.7,0.558,10.66,172801155.26,177404029.20,7876.42,
Alto Parna&iacute;ba,2100501,alto-parnaibano,RUBENS SUSSUMU OGASAWARA,11127.384,11109,1.00,95.1,0.633,11.9,63711620.50,58156405.19,51543.79,
Amap&aacute; do Maranh&atilde;o,2100550,amapaense,NELENE DA COSTA GOMES,502.403,7170,14.27,98,0.520,11.24,52254801.99,45328038.72,9963.57,
Amarante do Maranh&atilde;o,2100600,amarantino,VANDERLY GOMES MIRANDA,7439.615,37085,4.98,95.1,0.555,12.71,159172886.84,154604643.20,9250.86,
Anajatuba,2100709,anajatubense,H&Eacute;LDER LOPES ARAG&Atilde;O,940.489,25322,26.92,96.1,0.581,28.78,135810561.47,124737653.20,7642.36,
Anapurus,2100808,anapuruense,TANIOS MATIAS LIMA,608.903,13793,22.65,98,0.581,17.39,85109726.78,77849453.70,9289.48,
Apicum-A&ccedil;u,2100832,apicum-a&ccedil;uense,JADER CLAUDIO PEREIRA SANTOS,341.120,17519,51.36,96.8,0.568,12.35,77249892.17,75144965.12,7620.23,
Araguan&atilde;,2100873,araguanaense,FLAVIO RONNE AMORIM MUNIZ,805.194,11181,13.89,96.3,0.533,6.94,75837510.47,75018430.61,6491.48,
Araioses,2100907,araiosense,JOAO CANDIDO CARVALHO NETO,1789.730,39052,21.82,96.8,0.521,22.49,156804560.58,127429859.80,6005.38,
Arame,2100956,aramense,PEDRO FERNANDES RIBEIRO,2976.039,25517,8.57,89.8,0.512,18.83,110440925.70,102374022.50,8845.77,
Arari,2101004,arariense,MARIA ALVES MUNIZ,1100.275,29472,26.79,99,0.626,2.95,144305268.81,136446901.20,10438.57,
Axix&aacute;,2101103,axixaense,ROBERTA MARIA GONCALVES BARRETO COSTA,160.462,11790,73.48,98.5,0.641,19.61,53502187.85,52343763.87,7964.97,
Bacabal,2101202,bacabalense,JOS&Eacute; ROBERTO COSTA SANTOS,1656.736,103711,62.60,97.2,0.651,10.75,423184160.39,443021251.50,14412.91,
Bacabeira,2101251,bacabeirense,NAILA GON&Ccedil;ALO GASPAR,542.961,16966,31.25,98.4,0.629,8.33,98981862.20,92737120.56,34352.98,
Bacuri,2101301,bacuriense,MARCIO FLAVIO DOS SANTOS ABREU,832.084,16290,19.15,97.8,0.578,14.71,81725751.17,85491890.45,6563.37,
Bacurituba,2101350,bacuritubense,LETICIA LIBIA BARROS COSTA,413.651,5252,12.70,98.8,0.537,18.87,32209289.20,30758367.75,6952.32,
Balsas,2101400,balsense,ALAN DOUGLAS DE OLIVEIRA,13141.162,101767,7.74,94.4,0.687,12.5,510170334.44,466206344.30,65059.77,
Bar&atilde;o de Graja&uacute;,2101509,baronense,GLEYDSON RESENDE DA SILVA,2209.414,18984,8.59,95.8,0.592,11.86,80722695.50,82404548.78,14115.69,
Barra do Corda,2101608,barra-cordense,RIGO ALBERTO TELIS DE SOUSA,5187.673,84532,16.29,95.8,0.606,16.68,320073079.82,343867761.70,10004.24,
