Cear&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abaiara,2300101,abaiarense,ANGELO FURTADO SAMPAIO,180.833,10038,55.51,96.7,0.628,6.71,59768531.11,54988291.19,9859.67,
Acarape,2300150,acarapense,FRANCISCO EDILBERTO BESERRA BARROSO,130.002,14027,107.90,96.8,0.606,10.87,71665247.15,69187520.62,11888.66,
Acara&uacute;,2300200,acarauense,ANA FL&Aacute;VIA RIBEIRO MONTEIRO,842.470,65264,77.47,96.8,0.601,2.06,315118554.15,292378502.30,16051.99,
Acopiara,2300309,acopiarense,FRANCISCO VILMAR FELIX MARTINS,2254.279,44962,19.95,97.2,0.595,11.56,190923127.56,182118463.60,10322.74,
Aiuaba,2300408,aiuabense,JOSE MORAES FEITOSA,2438.563,14076,5.77,97.5,0.569,18.4,83290889.96,74991714.42,8621.26,
Alc&acirc;ntaras,2300507,alcantarense,CHARLYNE CUNHA FREIRE,135.760,11369,83.74,97.7,0.600,-,61226904.05,58671506.67,8289.87,
Altaneira,2300606,altaneirense,ANA KESIA DE ALCANTARA SOARES,72.675,6782,93.32,95.7,0.602,16.67,51295134.13,49420451.79,9680.24,
Alto Santo,2300705,alto-santense,JOSE JOENI HOLANDA DE ARAUJO,1147.208,14155,12.34,96.5,0.601,5.62,88684025.22,76914498.27,14447.21,
Amontada,2300754,amontadense,FLAVIO CESAR BRUNO TEIXEIRA FILHO,1175.044,42156,35.88,97,0.606,9.12,216663029.68,214760946.30,15057.63,
Antonina do Norte,2300804,antonino ou antoninense,ANTONIO ROSENO FILHO,259.706,7245,27.90,95.7,0.599,-,48518444.83,41450344.70,10666.5,
Apuiar&eacute;s,2300903,apuiareense,ANARACY PINTO PINHO RUFINO,543.980,12928,23.77,98.6,0.618,14.39,63217066.72,60303265.43,8206.35,
Aquiraz,2301000,aquirazense,BRUNO BARROS GON&Ccedil;ALVES,480.236,80645,167.93,96.5,0.641,13.1,474620527.45,481073826.20,47245.19,
Aracati,2301109,aracatiense,ROBERTA CARDOSO BARBOSA DE ALMEIDA,1227.197,75113,61.21,98.5,0.655,12.7,356146820.29,348682108.30,22637.56,
Aracoiaba,2301208,aracoiabense,WELLINGTON SILVA DE OLIVEIRA,643.988,25553,39.68,96.5,0.615,13.29,154393497.68,151436787.00,10015.85,
Ararend&aacute;,2301257,ararendaense,ARISTEU ALVES EDUARDO,342.301,11096,32.42,98.9,0.590,19.61,74501593.65,67591117.75,9722.66,
