Bahia | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2022],Total de despesas brutas empenhadas - R$ [2022],PIB per capita - R$ [2021],
Aba&iacute;ra,2900108,abairense,WELLINGTON BARBOSA SILVA,538.677,7301,13.55,97.2,0.603,18.52,32237641.59,35111367.37,8086.04,
Abar&eacute;,2900207,abareense,EMANOEL MESCIAS MENEZES DE ANDRADE,1604.923,17639,10.99,96.5,0.575,7.17,87563602.75,79977884.76,10127.1,
Acajutiba,2900306,acajutibense,JADIEL SOUZA JESUS,181.475,13795,76.02,98,0.582,12.82,83405745.46,79390929.67,9499.76,
Adustina,2900355,adustinense,JOTA JUNIOR GON&Ccedil;ALVES,629.100,14201,22.57,98.1,0.546,20.55,78434504.29,73643969.42,13986.28,
&Aacute;gua Fria,2900405,&aacute;gua-friense,RENAN ARAUJO BARROS,742.775,14497,19.52,97,0.550,13.79,73397340.01,88594859.92,9269.33,
&Eacute;rico Cardoso,2900504,&eacute;rico-cardosense,ERALDO F&Eacute;LIX DA SILVA,735.249,10604,14.42,98.8,0.584,16.95,53133336.70,50328616.35,7425.41,
Aiquara,2900603,aiquarense,VALERIA RIBEIRO SANTOS,167.877,4447,26.49,98.4,0.583,-,45623931.03,43534669.81,12244.83,
Alagoinhas,2900702,alagoinhense,GUSTAVO AUGUSTO DE SOUZA CARMO,707.836,151055,213.40,97.4,0.683,12.79,664260801.24,631717683.90,29621.32,
Alcoba&ccedil;a,2900801,alcobacense,GIVALDO MUNIZ,1477.929,24530,16.60,96.5,0.608,15.38,135266438.23,142880890.00,15437.27,
Almadina,2900900,almadinense,MARCOS MARCIEL PINHEIRO DE JESUS,245.236,5218,21.28,95.3,0.563,23.26,32229647.81,29587006.69,11924.08,
Amargosa,2901007,amargosense,GET&Uacute;LIO ALMEIDA SAMPAIO,431.655,36521,84.61,96.8,0.625,16.13,190276474.67,168053576.80,12327.08,
Am&eacute;lia Rodrigues,2901106,ameliense,JO&Atilde;O MANOEL BAHIA MENEZES,166.872,24138,144.65,99.2,0.666,6.1,108377590.27,102966520.80,17505.45,
Am&eacute;rica Dourada,2901155,am&eacute;rico-douradense,JOELSON CARDOSO DO ROSARIO,822.373,15137,18.41,96.6,0.561,-,79102581.84,78796917.45,10440.54,
Anag&eacute;,2901205,anageense,ROGERIO BONFIM SOARES,1899.683,25438,13.39,96,0.540,15.54,86891843.40,88578085.10,10592.91,
Andara&iacute;,2901304,andaraiense,WILSON PAES CARDOSO,1590.316,13080,8.22,97.8,0.555,6.58,74092334.41,69360658.94,10254.35,
Andorinha,2901353,andorinhense,ADILBERTO EVANGELISTA DE SOUZA,1362.386,15012,11.02,98,0.588,11.98,108057843.61,101142338.30,15500.25,
Angical,2901403,angicalense,MONICA MARIA RODRIGUES DAS CHAGAS DIAS,1530.050,13732,8.97,96.9,0.625,37.23,66509756.58,61752720.45,13699.3,
Anguera,2901502,anguerense,MAURO SELMO OLIVEIRA VIEIRA,187.840,11031,58.73,98.2,0.589,-,58873240.51,53339705.23,6927.47,
Antas,2901601,antense,ESSIONEIDE PIMENTEL DA SILVA MATOS,326.360,14206,44.43,94.3,0.592,7.3,96411774.67,86953768.11,8179.38,
Ant&ocirc;nio Cardoso,2901700,cardosense,JOCIVALDO BISPO DA CONCEI&Ccedil;&Atilde;O DOS ANJOS,293.530,11146,37.97,95.8,0.561,17.86,54328608.34,51157756.39,10644.2,
Ant&ocirc;nio Gon&ccedil;alves,2901809,ant&ocirc;nio-gon&ccedil;alvense,DJALMA DE FREITAS CARDOSO NETO,345.284,10862,31.46,98.4,0.598,20.83,60949081.57,53828781.31,6917.74,
Apor&aacute;,2901908,aporense,CARINE DANTAS DE MENEZES,479.262,15922,33.22,97.6,0.548,11.3,79635652.50,77698758.00,8332.08,
Apuarema,2901957,apuaremense,ROBERTO SANTOS AMORIM,150.830,6913,45.83,95.9,0.552,27.78,37849353.32,38785003.17,10214.51,
Aracatu,2902005,aracatuense,BRAULINA LIMA SILVA,1489.803,13936,9.35,97.7,0.581,17.54,70530574.93,66381596.36,11245.32,
Ara&ccedil;&aacute;s,2902054,ara&ccedil;aense,AGAMENON OLIVEIRA COELHO,474.577,11557,24.35,98.1,0.570,34.48,80586573.78,83479592.61,24447.56,
Araci,2902104,araciense,MARIA BETIVANIA LIMA DA SILVA,1496.245,48294,32.28,97.4,0.534,15.53,253502295.71,252315817.70,8950.31,
Aramari,2902203,aramariense,ANTONIO LUIZ CARDOSO DANTAS,368.947,9833,26.65,96.3,0.588,11.36,51526836.06,46634677.09,9008.7,
Arataca,2902252,arataquense,FERNANDO MANSUR GONZAGA,435.962,10191,23.38,95.6,0.559,12.99,61145526.80,60057926.34,9308.59,
