Paran&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abati&aacute;,4100103,abatiense,SONIA APARECIDA DE SOUZA CHAVES,228.717,7241,31.66,96.5,0.687,-,47733587.01,41659546.03,30140.55,
Adrian&oacute;polis,4100202,adrianopolitano ou adrianopolense,VANDIR DE OLIVEIRA ROSA,1349.311,6256,4.64,95.8,0.667,14.29,53663341.32,48779622.82,63631.39,
Agudos do Sul,4100301,agudense-do-sul ou agudense,GENEZIO GON&Ccedil;ALVES DA LUZ,192.261,10233,53.22,96.3,0.660,-,56439846.05,48989315.67,22674.09,
Almirante Tamandar&eacute;,4100400,tamandareense,CAMILO DANIEL LOVATO,194.228,119825,616.93,95.6,0.699,11.47,422273302.05,363215435.00,15947.74,
Altamira do Paran&aacute;,4100459,altamirense,ELZA APARECIDA DA SILVA,386.945,3590,9.28,97.5,0.667,23.26,39337787.13,31516744.42,67332.6,
Alt&ocirc;nia,4100509,altoniano,DIEGO JARDIM PERGO,661.560,18742,28.33,99.7,0.721,9.71,102531584.00,94730535.72,20747.69,
Alto Paran&aacute;,4100608,alto-paranaense,CLAUDEMIR JOIA PEREIRA,407.719,13909,34.11,96,0.696,6.06,88937859.66,78405848.81,29192.99,
Alto Piquiri,4100707,alto-piquirense,GIOVANE MENDES DE CARVALHO,447.666,9727,21.73,97.7,0.676,8.33,64484961.27,55707732.46,42092.67,
Alvorada do Sul,4100806,alvoradense-do-sul,MARCOS ANTONIO GASPARELLI,424.250,10326,24.34,97.4,0.708,-,100435694.04,87951715.04,29176.4,
Amapor&atilde;,4100905,amaporense,MARCOS MARIN,384.735,4762,12.38,98.3,0.669,37.04,48799577.83,38976608.85,18911.54,
Amp&eacute;re,4101002,amperense,DOUGLAS DIEMS MOROCKOSKI POTRICH,298.349,19620,65.76,99.3,0.709,7.38,121709989.45,102310509.80,38549.37,
Anahy,4101051,anaiense,ARILSON BATISTA DE SOUZA,102.895,2918,28.36,97.4,0.695,-,35959309.48,30151826.53,41475.92,
Andir&aacute;,4101101,andiraense,EDNYRA APARECIDA SANCHES BUENO DE GODOY FERREIRA,235.944,19878,84.25,99.1,0.725,19.7,143168119.00,128408460.40,41191.94,
&Acirc;ngulo,4101150,angulense,ALEXANDRE DE SOUSA PROFETA,106.021,3235,30.51,100,0.721,-,48203982.04,36630284.54,52613.12,
Antonina,4101200,antoninense,ROZANE MARISTELA BENEDETTI OSAKI,891.582,18091,20.29,97.6,0.687,-,132839332.30,121095621.80,37048.49,
Ant&ocirc;nio Olinto,4101309,antoniolintense,FABIO STANISZEWSKI MACHIAVELLI,469.620,7018,14.94,98.6,0.656,-,44936514.59,41324262.18,31445.78,
Apucarana,4101408,apucaranense,RODOLFO MOTA DA SILVA,556.990,130134,233.64,97.8,0.748,13.82,601344879.13,549055470.40,28189.54,
Arapongas,4101507,araponguense,RAFAEL FELIPE CITA,382.215,119138,311.70,97.3,0.748,4.61,673729889.87,544208248.20,39149.76,
Arapoti,4101606,arapotiense,IRANI JOSE BARROS,1358.176,25777,18.98,97.7,0.723,13.62,196137764.40,170719640.00,50824.66,
Arapu&atilde;,4101655,arapuense,MANOEL SALVADOR,217.371,3527,16.23,97.1,0.676,21.28,38679814.57,30829812.33,51561.44,
Araruna,4101705,ararunense,GUSTAVO FRAN&Ccedil;A DOS SANTOS,493.191,14485,29.37,99.1,0.704,26.46,87394811.75,72686581.27,39018.11,
Arauc&aacute;ria,4101804,araucariano,LUIZ GUSTAVO BOTOGOSKI,469.240,151666,323.22,97.4,0.740,8.2,1953563420.60,1625304742.00,170125.52,
Ariranha do Iva&iacute;,4101853,ariranhense do iva&iacute;,THIAGO EPIFANIO DA SILVA,234.075,2329,9.95,99.4,0.670,38.46,36936098.57,29115337.11,63664.72,
Assa&iacute;,4101903,assaiense,MICHEL ANGELO BOMTEMPO,440.347,13797,31.33,98,0.728,6.62,76026353.68,60797441.88,36478.15,
