Santa Catarina | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abdon Batista,4200051,abdonense,LUCIMAR ANTONIO SALMORIA,237.517,2598,10.94,100,0.694,-,37360629.58,33455634.15,29646.51,
Abelardo Luz,4200101,abelardense,NERCI SANTIN,953.992,17392,18.23,97.1,0.696,15.38,126960250.10,114596565.80,43621.44,
Agrol&acirc;ndia,4200200,agrolandense,GIANFRANCO CHRISTIANO MOHR,206.815,10990,53.14,97,0.725,6.99,75407455.69,65713134.58,35492.31,
Agron&ocirc;mica,4200309,agronomense,VOLNEI RODRIGUES,129.774,6055,46.66,94.4,0.741,-,40712941.73,36789927.59,41807.92,
&Aacute;gua Doce,4200408,&aacute;gua-docense,GIOVANI LUIZ BRANDALISE,1319.137,6508,4.93,97.9,0.698,11.63,78707884.67,68519678.72,90930.69,
&Aacute;guas de Chapec&oacute;,4200507,aguense,OSCAR BARELA,139.511,6036,43.27,99.3,0.713,-,43518693.63,39012794.81,21040.34,
&Aacute;guas Frias,4200556,&aacute;guasfriense,WESLEY TERRIBILE,76.631,2839,37.05,100,0.745,-,34586347.27,31272965.10,69655.52,
&Aacute;guas Mornas,4200606,&aacute;guas-mornense,PEDRO FRANCISCO GARCIA,326.660,6743,20.64,98.7,0.723,24.39,48790610.58,44444660.00,30026.7,
Alfredo Wagner,4200705,alfredense,GILMAR SANI,733.489,10481,14.29,92.8,0.668,-,252430855.26,232270080.80,33191.8,
Alto Bela Vista,4200754,bela-vistense,ADIR FLAVIO SVIDERSKEI,103.433,1856,17.94,98.7,0.755,-,36837298.30,26883204.42,41248.18,
Anchieta,4200804,anchietense,MOACIR PEDRO PIOVEZANI,232.348,5943,25.58,99.8,0.699,-,43389354.52,38992786.85,37207.3,
Angelina,4200903,angelinense,ELISEU JOSE COELHO,499.998,5358,10.72,99.3,0.687,-,42220708.61,36484735.02,37247.98,
Anita Garibaldi,4201000,anita-garibaldense,HENRIQUE MENEGAZZO,589.812,8285,14.05,96.1,0.688,29.41,57012868.17,49405142.83,34127.28,
Anit&aacute;polis,4201109,anitapolitano,SOLANGE BACK,540.636,3593,6.65,98.5,0.674,-,34531643.69,29295976.23,26235.15,
Ant&ocirc;nio Carlos,4201208,ant&ocirc;nio-carlense,ON&Eacute;LIO RICHARTZ,234.422,11224,47.88,96.5,0.749,-,87846722.58,72863267.52,91422.34,
Api&uacute;na,4201257,apiunense,MARCELO DOUTEL DA SILVA,493.490,9811,19.88,97.8,0.708,14.39,77950766.30,70543905.63,40398.52,
Arabut&atilde;,4201273,arabutanense,OLGUIN RICARDO METZ,132.779,4378,32.97,99.6,0.733,-,49312095.06,44938547.02,66635.06,
Araquari,4201307,araquariense,LUDGERO JASPER JUNIOR,386.693,45283,117.10,96,0.703,6.58,404850702.12,348658109.20,183116.55,
Ararangu&aacute;,4201406,araranguaense,C&Eacute;SAR ANTONIO CESA,301.819,71922,238.30,98.4,0.760,16.11,316951555.33,281411834.80,34317.67,
Armaz&eacute;m,4201505,armazenense,LUIZ PAULO RODRIGUES MENDES,173.958,8834,50.78,98.4,0.770,-,59585173.45,47729352.80,30763.41,
Arroio Trinta,4201604,arroio-trintense,ANTONIO SERIGHELLI,93.530,3556,38.02,99.3,0.764,-,46675753.30,37187083.45,35505.67,
Arvoredo,4201653,arvoredense,AGENOR JOSE ZANCO,90.503,2510,27.73,97.6,0.715,33.33,37123845.14,30134505.43,91500.25,
Ascurra,4201703,ascurrense,ARAO JOSINO DA SILVA,112.884,8319,73.70,98,0.742,11.76,46228824.12,47411160.75,30537.45,
Atalanta,4201802,atalantense,CLAUDIO VOLNEI SENS,94.383,3227,34.19,98.9,0.733,26.32,33310182.40,27450995.14,39623.72,
Aurora,4201901,aurorense,VANDERLEI ZANDONAI,207.045,6780,32.75,99.3,0.733,23.26,46557566.22,43595552.35,71547.9,
Balne&aacute;rio Arroio do Silva,4201950,arroio-silvense,EVANDRO SCAINI,94.477,15820,167.45,98.1,0.746,10.36,90987086.38,83330750.38,16094.47,
Balne&aacute;rio Cambori&uacute;,4202008,balneocamboriuense,JULIANA PAVAN VON BORSTEL,45.214,139155,3077.70,98.3,0.845,5.6,1652862346.74,1585870278.00,49301.41,
Balne&aacute;rio Barra do Sul,4202057,barrassulense,ADEMAR HENRIQUE BORGES,108.914,14912,136.92,98.7,0.716,14.71,99318911.26,84107991.47,22583.61,
Balne&aacute;rio Gaivota,4202073,gaivotense,EVERALDO DOS SANTOS,146.834,15669,106.71,98.7,0.728,-,91449348.15,81745746.64,18802.13,
