Mato Grosso do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
&Aacute;gua Clara,5000203,&aacute;gua-clarense,GEROLINA DA SILVA ALVES,7781.558,16741,2.15,96.6,0.670,10.34,182764403.87,174593930.10,77081.38,
Alcin&oacute;polis,5000252,alcinopolense,WELITON DA SILVA GUIMARAES,4397.518,4537,1.03,98,0.711,-,87632017.08,76143832.23,43312.1,
Amambai,5000609,amambaiense,SERGIO DIOZEBIO BARBOSA,4193.742,39325,9.38,93.2,0.673,13.47,269264624.05,276279202.80,43884.18,
Anast&aacute;cio,5000708,anastaciano,MANOEL APARECIDO DA SILVA,2913.108,24114,8.28,98.4,0.663,10.44,131028533.23,119993593.70,27508.95,
Anauril&acirc;ndia,5000807,anaurilandense,RAFAEL GUSMAO HAMAMOTO,3415.657,7653,2.24,98.9,0.670,13.51,75612172.07,88724948.01,45726.31,
Ang&eacute;lica,5000856,angeliquense,EDISON CASSUCI FERREIRA,1283.627,10729,8.36,98.2,0.697,14.39,80541295.08,74678416.76,106924.28,
Ant&ocirc;nio Jo&atilde;o,5000906,ant&ocirc;nio-joanense,AGNALDO MARCELO DA SILVA OLIVEIRA,1142.531,9303,8.14,96.9,0.643,33.56,84387969.14,71125856.43,80098.54,
Aparecida do Taboado,5001003,aparecidense,JOS&Eacute; NATAN DE PAULA DIAS,2751.485,27674,10.06,97.5,0.697,7.75,194964889.64,194508042.80,52822.84,
Aquidauana,5001102,aquidauanense,MAURO LUIZ BATISTA,17088.396,46803,2.74,97.6,0.688,5.76,320045550.87,321018096.00,25007.82,
Aral Moreira,5001243,aral-moreirense,ELAINE APARECIDA SOLIGO,1653.860,10748,6.50,90.7,0.633,17.86,93309303.54,88120797.40,81659.48,
Bandeirantes,5001508,bandeirantense,&Aacute;LVARO NACKLE URT,3357.926,7940,2.36,97.6,0.681,20.62,84734333.25,75925184.71,104256.82,
Bataguassu,5001904,bataguassuense,WANDERLEIA DUARTE CARAVINA,2392.476,23031,9.63,97.9,0.710,12.05,152928886.97,136374414.20,44412.79,
Bataypor&atilde;,5002001,bataiporanense,GERMINO DA ROZ SILVA,1826.578,10712,5.86,97,0.684,22.9,80725612.30,71361258.85,53061.87,
Bela Vista,5002100,bela-vistense,GERARDO GABRIEL NUNES BOCCIA,4909.842,21613,4.41,96,0.698,2.33,163206509.95,162307688.30,39325.43,
Bodoquena,5002159,bodoquenense,MARIA GIRLEIDE ROVARI,2589.140,8567,3.31,99.2,0.666,34.19,87109256.96,85424832.16,45112.32,
Bonito,5002209,bonitense,JOSMAIL RODRIGUES,5378.939,23659,4.40,97.3,0.670,8.55,214557133.81,216780293.10,53761.59,
Brasil&acirc;ndia,5002308,brasilandense,MARCIA REGINA DO AMARAL SCHIO,5803.542,11579,2.00,98.7,0.701,7.14,136273839.70,121575923.30,72772.16,
Caarap&oacute;,5002407,caarapoense,MARIA LURDES PORTUGAL,2115.730,30612,14.47,91.5,0.692,8.26,236591496.04,223717569.90,67669.26,
Camapu&atilde;,5002605,camapuense,MANOEL EUGENIO NERY,6238.127,13583,2.18,97.9,0.703,18.52,137149027.24,115100906.00,46584.73,
Campo Grande,5002704,campo-grandense,ADRIANE BARBOSA NOGUEIRA LOPES,8082.327,898100,111.11,98,0.784,10.69,5484604047.75,5611305871.00,37916.06,
Caracol,5002803,caracolense,CARLOS HUMBERTO PAGLIOSA,2928.706,5036,1.71,97.9,0.647,15.15,66225835.26,52863744.89,28753.23,
Cassil&acirc;ndia,5002902,cassilandense,RODRIGO BARBOSA DE FREITAS,3658.252,20988,5.74,98.9,0.727,25,176326688.50,162342917.90,35488.52,
Chapad&atilde;o do Sul,5002951,chapadense,WALTER SCHLATTER,3252.327,30993,9.53,98.3,0.754,3.87,301508632.99,275268272.60,91707.11,
Corguinho,5003108,corguinhense,M&Aacute;RCIO NOVAES PEREIRA,2639.656,4783,1.81,98.3,0.671,35.71,41835416.43,52336193.57,24410.15,
Coronel Sapucaia,5003157,sapucaense,NIAGARA PATRICIA GAUTO KRAIEVSKI,1023.727,14289,13.96,84,0.589,31.88,93819449.09,86662634.70,22914.88,
Corumb&aacute;,5003207,corumbaense,GABRIEL ALVES DE OLIVEIRA,64432.435,96268,1.49,94.7,0.700,16.84,888302606.31,822558735.40,34684.48,
Costa Rica,5003256,costa-riquense,CLEVERSON ALVES DOS SANTOS,4159.384,26037,6.26,98.6,0.706,12.02,260411401.51,227689161.00,97722.89,
Coxim,5003306,coxinense,EDILSON MAGRO,6388.967,32151,5.03,97.1,0.703,4.27,247824378.66,229115833.00,33316.2,
Deod&aacute;polis,5003454,deodapolense,JEAN CARLOS SILVA GOMES,828.450,13663,16.49,99.1,0.694,6.54,50119030.48,99517806.14,37903.72,
Dois Irm&atilde;os do Buriti,5003488,buritiense,WLADEMIR DE SOUZA VOLK,2430.300,11100,4.56,95.9,0.639,6.33,95686049.99,87276172.94,28765.87,
Douradina,5003504,douradinense,NAIR BRANTI,280.179,5578,19.89,99.1,0.699,28.57,48965954.16,47199531.11,33357.95,
Dourados,5003702,douradense,MAR&Ccedil;AL GON&Ccedil;ALVES LEITE FILHO,4062.889,243367,59.91,97.1,0.747,12.71,1538233199.85,1473820950.00,55246.68,
Eldorado,5003751,eldoradense,FABIANA MARIA LORENCI,1012.796,11386,11.24,96.1,0.684,10.42,90284946.55,80131144.51,44791.75,
F&aacute;tima do Sul,5003801,f&aacute;tima-sulense,WAGNER ROBERTO PONSIANO,315.737,20609,65.36,98,0.714,12.77,115436788.59,102605915.80,33882.86,
Figueir&atilde;o,5003900,figueir&atilde;oense,JUVENAL CONSOLARO,4880.736,3539,0.73,95.9,0.660,-,65622005.08,57365089.08,46773.62,
Gl&oacute;ria de Dourados,5004007,gl&oacute;ria-douradense,J&Uacute;LIO CLEVERTON DOS SANTOS,493.105,10444,21.17,99.8,0.721,43.01,70259973.31,63508051.45,30808.58,
Guia Lopes da Laguna,5004106,lagunense,MAX ANTONIO SOUZA MORAIS,1225.426,9940,8.11,96.5,0.675,14.29,67309841.31,59627764.04,37345.58,
