Goi&aacute;s | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2023],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abadia de Goi&aacute;s,5200050,abadiense,WANDER SARAIVA DE CARVALHO,143.357,19128,133.43,97.2,0.708,7.63,83624420.93,78679879.19,38622,
Abadi&acirc;nia,5200100,abadianense,ITAMAR VIEIRA GOMES,1044.555,17232,16.50,94.3,0.689,-,92098618.68,84083240.17,21334.94,
Acre&uacute;na,5200134,acreunense,CLAUDIOMAR CONTIN PORTUGAL,1566.742,21568,13.77,97.1,0.686,25.32,136048865.44,128249974.70,46315.9,
Adel&acirc;ndia,5200159,adelandense,EDSON VIEIRA DE PAULA,115.385,2297,19.91,100,0.702,-,23591346.41,20844838.31,19400.94,
&Aacute;gua Fria de Goi&aacute;s,5200175,&aacute;gua-friense,VIRGINIA ANGELICA SANTOS CASTRO,2023.636,4954,2.45,97.4,0.671,38.46,36749811.58,46544860.28,91260.12,
&Aacute;gua Limpa,5200209,&aacute;gua-limpense,JOS&Eacute; CARLOS GUIMAR&Atilde;ES FILHO,458.836,1858,4.05,97.4,0.722,-,28714371.50,24601249.76,35293.9,
&Aacute;guas Lindas de Goi&aacute;s,5200258,&aacute;guas lindense,LUCAS DE CARVALHO ANTONIETTI,191.817,225693,1176.61,96.6,0.686,10.88,582401590.50,580827941.30,11052.96,
Alex&acirc;nia,5200308,alexaniense,WARLEY FERREIRA GOUVEIA,846.876,27008,31.89,97,0.682,17.46,176447139.09,162542051.40,39776.23,
Alo&acirc;ndia,5200506,aloandense,RENATO BATISTA DA SILVA,102.094,1973,19.33,98.1,0.697,-,23470375.43,25092901.63,32251.19,
Alto Horizonte,5200555,alto horizontino,DIOGO RODRIGUES DE SOUSA,500.342,6072,12.14,97,0.719,19.8,164304913.71,158009519.30,188378.9,
Alto Para&iacute;so de Goi&aacute;s,5200605,alto-paraisense,MARCUS ADILSON RINCO,2594.998,10306,3.97,98,0.713,12.74,64187711.33,59566748.56,38319.04,
Alvorada do Norte,5200803,alvoradense,DAVID MOREIRA DE CARVALHO,1268.347,8446,6.66,98,0.660,9.62,46831208.16,48089854.87,19317.45,
